Id,CreationTime,CreationTimeUTC,RecordType,Operation,OrganizationId,UserType,UserKey,Workload,UserId,ClientIP,UserAgent,Activity,ItemName,WorkSpaceName,DashboardName,DatasetName,ReportName,WorkspaceId,ObjectId,DashboardId,DatasetId,ReportId,OrgAppPermission,CapacityId,CapacityName,AppName,IsSuccess,ReportType,RequestId,ActivityId,AppReportId,DistributionMethod,ConsumptionMethod,RetrieveDate
c8a266f2-2842-4b2a-9602-cb3b38f93352,2022-08-18T00:11:50Z,,20,Import,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DEBDBBF1,PowerBI,anne09@example.org,109.154.17.112,,Import,asset uc v4.pbix,gbinwzsvfs,,,jhqwfftkpz,e9df8dc4-24c5-4e94-be52-98f05a603631,asset uc v4.pbix,,,,,,,,True,,c3f2ccee-7979-4cb1-a6ff-9ba2c43ef550,2271b8a5-fd61-4a61-aacf-f1111ba6274f,,,,18/08/2022 12:51:28
aafda5ae-6831-4378-8662-2b5bf1c251be,2022-08-18T00:11:55Z,,20,EditDataset,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DEBDBBF1,PowerBI,anne09@example.org,109.154.17.112,,EditDataset,asset uc v4,gbinwzsvfs,,asset uc v4,jhqwfftkpz,e9df8dc4-24c5-4e94-be52-98f05a603631,asset uc v4,,e1fab2c0-19fa-4e15-8112-ea05e62f6828,,,,,,True,,c3f2ccee-7979-4cb1-a6ff-9ba2c43ef550,2271b8a5-fd61-4a61-aacf-f1111ba6274f,,,,18/08/2022 12:51:28
eac0dd22-7c8e-4ae4-8b17-673b593225d9,2022-08-18T06:53:29Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032002155F8431,PowerBI,christian83@example.net,82.26.97.11,,ViewReport,02.020.Portfolio Performance Snapshot,vgappqamqc,,02.020.Portfolio Performance Snapshot,wsdryryemk,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,02.020.Portfolio Performance Snapshot,,45337b03-fc81-42df-9f8d-b2018d65df3a,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,,,,,True,PowerBIReport,0d8c0ad3-21d1-475b-8d89-cb3f920a0b65,e7d37545-7556-450f-bb5a-9af76cdacd93,,Shared,Power BI Web,18/08/2022 12:51:28
59822f06-5714-43a0-bae3-bf289416b295,2022-08-18T07:58:55Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001AE10E3FB,PowerBI,wkirby@example.com,147.161.166.81,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",ViewReport,MaintenanceMetrics,wiwhonxqlw,,MaintenanceMetrics,zzdkxyvynw,01439304-c9df-421c-b620-1f72c9ccad09,MaintenanceMetrics,,c385f49f-0f71-4bdb-8a66-e66a3e8f8260,b548a60d-b249-436e-b2b5-06b90957914d,,,,,True,PowerBIReport,2b4d2ebb-9db6-478a-a2e3-bab5a46bed9c,60598164-5078-4193-8ddd-59c81d7322f1,,Workspace,Embedding for your organization,18/08/2022 12:51:28
c7e4c0e7-b864-4300-93c8-c61ca64f44ba,2022-08-18T07:07:00Z,,20,EditDataset,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,100320010DE8EEE4,PowerBI,joneshelen@example.net,165.225.80.254,,EditDataset,Process Team Metrics DEVELOPMENT,srossfycyf,,Process Team Metrics DEVELOPMENT,jhqwfftkpz,9e945a9a-ad50-48c4-bd71-7d55888917a2,Process Team Metrics DEVELOPMENT,,c0f540a5-8c51-49c4-befe-7d92bf817dc3,,,,,,True,,5973cf01-b35c-4b95-b34e-4bbb29c8ff62,a1641426-e1d3-480d-8bc2-a1981656df61,,,,18/08/2022 12:51:28
1d781b9e-d343-4a23-b8da-3d824efc99b4,2022-08-18T07:32:21Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10037FFEAC72F1B8,PowerBI,annettejones@example.com,82.8.88.62,,ViewReport,02.020.Portfolio Performance Snapshot,vgappqamqc,,02.020.Portfolio Performance Snapshot,wsdryryemk,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,02.020.Portfolio Performance Snapshot,,45337b03-fc81-42df-9f8d-b2018d65df3a,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,,,,,True,PowerBIReport,5533e419-95dd-475c-b4f6-66c9857832eb,09656af4-6ef5-496f-adb9-f41f4c24446a,,Shared,Power BI Web,18/08/2022 12:51:28
b8feec1e-7ab8-4777-91a0-44e1892c1a35,2022-08-18T07:50:31Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFFA0E092D0,PowerBI,darren82@example.com,195.59.2.26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54",ViewReport,HOP Reporting Suite v2.5 with KPI excl,aeqbxfeosa,,HOP Reporting Suite v2.5 with KPI excl,okvjvpywwa,4c22dc06-3ee0-4b45-bc33-61916f26f956,HOP Reporting Suite v2.5 with KPI excl,,966842a7-1e76-4061-bca1-05275169021a,ba88d549-558d-4cd6-b026-936a82c5e66f,,,,,True,PowerBIReport,4daa8215-5439-3440-4f51-da93849d58f9,affd5e26-49ee-e212-9d58-c65907764838,,Shared,Power BI Web,18/08/2022 12:51:28
ec456f8b-5650-4359-8c0a-0aaeb95666ae,2022-08-18T07:53:05Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10033FFFAB133EFA,PowerBI,martinnorman@example.com,86.144.43.57,,ViewReport,06.040.Risk Operational Dashboard - Risk Exposure Change,vgappqamqc,,06.040.Risk Operational Dashboard - Risk Exposure Change,rmlvlzpygr,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,06.040.Risk Operational Dashboard - Risk Exposure Change,,cd30f3bb-852d-45fd-bade-44acb1bbebd6,9a45de2b-e17b-4745-b1ed-54db8e4962b8,,,,,True,PowerBIReport,3ed85c63-1aa2-48cc-9d8b-23897b1d2aca,0b5b9260-7257-48f6-8af4-2a52dd09b39a,,Shared,Power BI Web,18/08/2022 12:51:28
b0dce863-5ce1-430a-9dec-79cb0174a378,2022-08-18T07:31:11Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,1003200161D4CC92,PowerBI,cshaw@example.com,82.14.159.121,,ViewReport,asset uc v4,gbinwzsvfs,,asset uc v4,ijqkzppmoi,e9df8dc4-24c5-4e94-be52-98f05a603631,asset uc v4,,e1fab2c0-19fa-4e15-8112-ea05e62f6828,1f27f46a-944e-4fab-988a-5606d749d9c9,,,,,True,PowerBIReport,8c96db6c-901f-4bcb-a2b1-7c7fb2982d33,d07dcab9-9fc3-46c9-8cef-6bf8fbb534df,,Workspace,Power BI Web,18/08/2022 12:51:28
4caab43d-230c-482d-913f-560976713226,2022-08-18T07:06:58Z,,20,Import,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,100320010DE8EEE4,PowerBI,joneshelen@example.net,165.225.80.254,,Import,Process Team Metrics DEVELOPMENT.pbix,srossfycyf,,,jhqwfftkpz,9e945a9a-ad50-48c4-bd71-7d55888917a2,Process Team Metrics DEVELOPMENT.pbix,,,,,,,,True,,5973cf01-b35c-4b95-b34e-4bbb29c8ff62,a1641426-e1d3-480d-8bc2-a1981656df61,,,,18/08/2022 12:51:28
