Id,CreationTime,CreationTimeUTC,RecordType,Operation,OrganizationId,UserType,UserKey,Workload,UserId,ClientIP,UserAgent,Activity,ItemName,WorkSpaceName,DashboardName,DatasetName,ReportName,WorkspaceId,ObjectId,DashboardId,DatasetId,ReportId,OrgAppPermission,CapacityId,CapacityName,AppName,IsSuccess,ReportType,RequestId,ActivityId,AppReportId,DistributionMethod,ConsumptionMethod,RetrieveDate
108f9126-9ad2-4351-89fd-a4e7403e13c4,2022-07-08T00:07:55Z,,20,ExportReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DE3BA8CC,PowerBI,stephanie95@example.net,164.143.216.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",ExportReport,HS2 ECP Hopper Analytics Master - PowerApp v9.0,ixgypfbkwc,,HS2 ECP Hopper Analytics Master - PowerApp v9.0,dxjsnlhqku,1325714e-f133-46a9-a8ae-17fe4fec9ec4,HS2 ECP Hopper Analytics Master - PowerApp v9.0,,47b1176c-8839-46c3-8d28-9edf248f0700,086b2d9a-d3d3-4abc-bf99-16295da8277e,,,,,True,PowerBIReport,000ae655-db43-2f33-7480-4e3e93613f39,971ef4b1-19a3-4e2b-883c-d91bba512057,,Shared,,08/07/2022 10:45:59
3d35bdf1-06bc-4ebb-9c57-719d7966cf1b,2022-07-08T00:24:13Z,,20,ExportReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DE3BA8CC,PowerBI,stephanie95@example.net,164.143.216.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",ExportReport,HS2 ECP Hopper Analytics Master - PowerApp v9.0,ixgypfbkwc,,HS2 ECP Hopper Analytics Master - PowerApp v9.0,dxjsnlhqku,1325714e-f133-46a9-a8ae-17fe4fec9ec4,HS2 ECP Hopper Analytics Master - PowerApp v9.0,,47b1176c-8839-46c3-8d28-9edf248f0700,086b2d9a-d3d3-4abc-bf99-16295da8277e,,,,,True,PowerBIReport,549e39c1-1292-3d78-ef7a-0c72461a6333,971ef4b1-19a3-4e2b-883c-d91bba512057,,Shared,,08/07/2022 10:45:59
b1ef801b-809e-48f1-ac5c-24880d26432d,2022-07-08T00:02:21Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DE3BA8CC,PowerBI,stephanie95@example.net,164.143.216.195,,ViewReport,HS2 ECP Hopper Analytics Master - PowerApp v9.0,ixgypfbkwc,,HS2 ECP Hopper Analytics Master - PowerApp v9.0,dxjsnlhqku,1325714e-f133-46a9-a8ae-17fe4fec9ec4,HS2 ECP Hopper Analytics Master - PowerApp v9.0,,47b1176c-8839-46c3-8d28-9edf248f0700,086b2d9a-d3d3-4abc-bf99-16295da8277e,,,,,True,PowerBIReport,73c75408-e01c-e85a-716f-1c209a2819fa,710fe691-6bf2-9c20-7e2f-6536e52118dd,,Shared,Embedding for your organization,08/07/2022 10:45:59
212a589b-2cb1-4f4d-8cbf-15e3dbbbece6,2022-07-08T00:15:59Z,,20,ExportReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10032001DE3BA8CC,PowerBI,stephanie95@example.net,164.143.216.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",ExportReport,HS2 ECP Hopper Analytics Master - PowerApp v9.0,ixgypfbkwc,,HS2 ECP Hopper Analytics Master - PowerApp v9.0,dxjsnlhqku,1325714e-f133-46a9-a8ae-17fe4fec9ec4,HS2 ECP Hopper Analytics Master - PowerApp v9.0,,47b1176c-8839-46c3-8d28-9edf248f0700,086b2d9a-d3d3-4abc-bf99-16295da8277e,,,,,True,PowerBIReport,79a56029-2b47-a899-1259-c36433f43618,971ef4b1-19a3-4e2b-883c-d91bba512057,,Shared,,08/07/2022 10:45:59
2ba877fc-54ea-4bff-95a9-aed5e4bca68f,2022-07-08T01:12:40Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,1003000099D60C0B,PowerBI,usutton@example.org,82.3.212.117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",ViewReport,02.020.Portfolio Performance Snapshot,xafvkvmjlm,,02.020.Portfolio Performance Snapshot,fjlzrcbzmf,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,02.020.Portfolio Performance Snapshot,,45337b03-fc81-42df-9f8d-b2018d65df3a,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,,,,,True,PowerBIReport,82005fbb-27a7-3fe6-aa9f-82e9b8df817c,de6f848e-fcbc-7dd1-37b4-5b111060c930,,Shared,Power BI Web,08/07/2022 10:45:59
232a4868-bb6e-4bb9-a615-1ce869284809,2022-07-08T01:01:56Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,1003000099D60C0B,PowerBI,usutton@example.org,82.3.212.117,,ViewReport,02.020.Portfolio Performance Snapshot,xafvkvmjlm,,02.020.Portfolio Performance Snapshot,fjlzrcbzmf,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,02.020.Portfolio Performance Snapshot,,45337b03-fc81-42df-9f8d-b2018d65df3a,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,,,,,True,PowerBIReport,339ebd69-486d-4471-a3ed-3d68b2f2d725,b2ecff11-e86e-43a6-b71b-bd9a6fa78dad,,Shared,Power BI Web,08/07/2022 10:45:59
04831e83-453e-4dbe-a513-984878d70130,2022-07-08T05:53:53Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10037FFE99CE2205,PowerBI,irenewalker@example.net,46.208.153.39,,ViewReport,05.010.Schedule Operational Multi-Column Report,xafvkvmjlm,,05.010.Schedule Operational Multi-Column Report,ocdnoiwisj,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,05.010.Schedule Operational Multi-Column Report,,95b6d397-6081-4373-a467-c7dd2c62b240,8ef2d821-bae1-47c9-9e95-251fcaad4d69,,,,,True,PowerBIReport,3bde50fa-7dce-d947-6ee2-0c1c84329d0a,778754d6-3db2-45e4-68d5-e66b70253a0c,,Shared,Power BI Web,08/07/2022 10:45:59
23693299-1204-445c-985f-810e9b4a0a70,2022-07-08T05:53:54Z,,20,GetSnapshots,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,10037FFE99CE2205,PowerBI,irenewalker@example.net,46.208.153.39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",GetSnapshots,,txscrjvkdn,,,vicghdllgn,,,,,,,,,,True,,915b1b75-0293-af7b-d18b-7ce1cae136ef,ca90e268-1fd7-9880-fe5e-32401fcb1da8,,,,08/07/2022 10:45:59
0f3d06fe-c20a-4054-aab9-07a95fbe9162,2022-07-08T05:12:31Z,,20,GetSnapshots,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,100320012D6A8B01,PowerBI,greendawn@example.net,92.15.254.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",GetSnapshots,,txscrjvkdn,,,vicghdllgn,,,,,,,,,,True,,7432e3f6-90e3-b4f0-145b-f03a1e7304d1,e2ff3f41-1a22-4cac-8e37-f9ccd773cc96,,,,08/07/2022 10:45:59
613c3ff1-50e7-4d23-a633-ffd88b8ccf88,2022-07-08T05:12:37Z,,20,ViewReport,efe042fe-c4cf-4e6b-a8d4-23234c69c5ec,0,100320012D6A8B01,PowerBI,greendawn@example.net,92.15.254.115,,ViewReport,02.020.Portfolio Performance Snapshot,xafvkvmjlm,,02.020.Portfolio Performance Snapshot,fjlzrcbzmf,8dbdee7a-fb8d-4ae7-9a55-061239bd3e1e,02.020.Portfolio Performance Snapshot,,45337b03-fc81-42df-9f8d-b2018d65df3a,80a6e600-3c25-4dfa-aa07-e2c33c063b6a,,,,,True,PowerBIReport,ddd73edb-3fd4-b9ce-6380-c26e89753c83,af9560fb-30e5-52b2-f7d4-b48aeb2f3db3,,Shared,Power BI Web,08/07/2022 10:45:59
